Unnamed: 0,text,label
36130,id say maybe made them feel foolish but that would be reeeeeeally reaching,0
138065,i joined the lds church i admit to feeling somewhat ashamed of my family background in light of the mormon ideal that presented itself to me,0
146440,i must admit i didnt feel like hugging him not because i was angry with him but because i was so disgusted with myself i didnt feel i deserved his affection at that moment,3
103337,i hate that i can still feel if any nerve is damaged badly enough or often enough it looses sensation and will eventually die and you become numb there why cant emotion be the same,0
315528,im actually feeling a little smug,1
414303,i left without a real explanation or a goodbye and i feel like i owe you the loyal visitors to this site the truth,2
407867,i almost always get their soup of the day for my side which is unfailingly super yummy but their salads and fried green beans also top my list if i m feeling adventurous,1
291389,i feel respected for what i m doing,1
227948,i have a really nice feeling about this one and wouldnt at all be surprised if a year or so from now its my favourite song from the entire project by that point,5
176638,i felt absolutely and totally violated as though he had drilled a hole in my head and not only entered my thoughts and feelings but took them away from me claimed them for himself deprived me of my most personal possession,0
369473,i feel like the book was rushed and wrapped up to quick and sookie ended up with sam somehow in a quick minute conversation that made no sense to me,3
252952,i feel a little sad that i ve aged outside of the a href http tvtropes,0
365397,i was born and raised catholic and since i was little i hated going to church sitting in the boring mass walking into the church and feeling nothing whats so ever but scared and nothing there made me believe in god,4
79012,ill hold out on my feelings on that until the third book to see how its resolved,1
5948,i feel these filters have been overused and abused i have to admit that using them can typically make your images feel a bit more artistic or at least help hide any imperfections in your original,0
252161,i hear it it make me feel quite tender,2
314970,ive been feeling uptight and particularly mean and bastardish i went through my personal e mail address book and deleted people whom i havent heard from in a while,4
60923,im tired of feeling like im unsuccessful,0
187359,i hope youre feeling better erik,1
414256,i care about the way people feel and think and their lives very curious person,5
53564,i must admit i feel a bit weird and look for any nonsense to snap and make look pretty with one of their filters,5
190309,i told her that both of us are still friends although maybe we can t be as close as before because i don t want to make her feel uncomfortable anymore,4
53275,i feel like a lot of churches people hide brokenness for fear that they will not be accepted by god or by the people of the church,2
328997,i feel depressed because im not where im supposed to be orezi,0
262960,i feel strong for me and climbing not bad my power endurance still feels about of what it could be maybe less,1
201461,i have a ton of pictures but i didnt really dedicate a post to it and now its almost a month past and i feel ive missed the boat,0
149185,i am more comfortable and while i still feel that i m doing an acceptable job there are always ways to improve my management and implementation,1
272454,i feel violent towards another person,3
409155,im not sure sometimes that im living the life i want to live even if im also not sure that being in london being a lawyer being stuck on the tube or in a meeting would feel any less dull less mundane less banal,0
136938,im feeling like a child who dont know what to do when im hurt,0
132893,i am beginning to feel like one of earths creatures that is more graceful underwater than on land,1
258769,i wasnt keen on this but looking back now i shouldve got it its kinda cute and i didnt feel uber rotten in it either,0
42035,i feel more trusting of the world at the same time,1
360006,i would never feel that heartbroken feeling because it would be so far beneath my shielding feelings,0
209005,i do i really wanna do a good one and just have fun and not want my friends to feel weird and awkward,4
270337,i feel fine and totally relieved but in another hour and a half i ll be needing to go really badly again,1
246535,i feel so numb and so asleep yet every single feeling is so sharp and so full of pain,0
13598,i am merely uncomfortable and very tired feel amazing by comparison,1
165537,i actually debated not having any coffee today because it can spike insulin levels but i feel so exhausted it just happened,0
109092,i am in a situation where i feel just as crappy as i did when i was smoking only five yes of a pack for you mathematicians cigarettes a day,0
233184,i was am feeling delicate i thought a simple one would be best so i went for one of several options in maddhur jaffreys curry easy red lentils with ginger,2
314812,i am not feeling remorseful then he disappears,0
60508,i watch him and i m feeling so thankful right now for such intense emotion such heart piercing love brought about by the sound and view of footsteps,1
369563,i could convince myself to go without feeling ludicrous,0
388916,i heard her sigh on the other side i imagined what she must be feeling she must be angry she can no longer feel sadness shes angry at the world that forgot the people like us the people like me theres nothing wrong with you do you hear me,3
9782,i don t feel greedy of worldly things so it s not a big deal,3
84628,im telling you curry sits in your mouth but doesnt feel uncomfortable,4
125783,i don t know how i feel about the title but they called her a pillow angel because realistically all she could do was lie on the couch and look pretty,1
325224,ive been feeling kinda awkward this week especially today,0
264629,i woke up feeling rather uncomfortable but the feeling quickly passed and i was able to fall back asleep,4
2863,im trying hard not to judge myself and it hurts deeply when i feel like those that are supposed to be supporting me are judging me for what i am going through,1
232295,i no longer feel pressured to constantly do something,4
235586,i feel like im a dirty person now to everyone else even though know one knows i still feel just sick inside,0
376029,i feel like talking about at the moment which pretty much usually means its about dumb links drawing music movies comic books and the occasional rant,0
54754,i feel that giving back to my beloved fans is within the best interest of all,2
393806,i am feeling pleased,1
64886,i bust out the nudes and pinks but when im feeling brave ill go for a pop of color,1
176130,i find myself asking people to repeat and feel mildly idiotic,0
167576,i guess that s why i feel like it s so important to celebrate his life or the life of anyone you love,1
339052,i speak with tom and or kim bellwood i feel significantly more intelligent,1
388231,i still walk away with each day is that even if i daily face battles in the toddler world and feel like inadequate mother who is doomed to fail at this parenting job,0
120803,i feel that my time with him has been the most successful on my mission,1
271348,i feel gloomy whenever it s raining,0
